order_key,order_item_id,product_category,seller_key,seller_label,seller_state,item_price,freight_value
1,1,cool_stuff,852,"Seller 0852",SP,58.90,13.29
2,1,pet_shop,2659,"Seller 2659",SP,239.90,19.93
3,1,furniture_decor,1111,"Seller 1111",MG,199.00,17.87
4,1,perfumery,1909,"Seller 1909",SP,12.99,12.79
5,1,garden_tools,2678,"Seller 2678",PR,199.90,18.14
6,1,housewares,1216,"Seller 1216",SP,21.90,12.69
7,1,telephony,1364,"Seller 1364",SP,19.90,11.85
8,1,garden_tools,1084,"Seller 1084",SP,810.00,70.75
9,1,health_beauty,1986,"Seller 1986",SP,145.95,11.65
10,1,books_technical,2218,"Seller 2218",SP,53.99,11.40
11,1,health_beauty,2465,"Seller 2465",SP,59.99,8.88
12,1,fashion_bags_accessories,1635,"Seller 1635",SP,45.00,12.98
13,1,bed_bath_table,879,"Seller 0879",SP,74.00,23.32
14,1,garden_tools,366,"Seller 0366",SP,49.90,13.37
14,2,garden_tools,366,"Seller 0366",SP,49.90,13.37
15,1,sports_leisure,1006,"Seller 1006",PR,99.90,27.65
16,1,consoles_games,3024,"Seller 3024",SP,639.00,11.34
17,1,perfumery,3039,"Seller 3039",SP,144.00,8.77
18,1,sports_leisure,399,"Seller 0399",SP,99.00,13.71
19,1,cool_stuff,1718,"Seller 1718",SC,25.00,16.11
20,1,bed_bath_table,323,"Seller 0323",SP,47.90,8.88
21,1,telephony,2817,"Seller 2817",SP,21.99,11.85
22,1,office_furniture,1527,"Seller 1527",SP,119.99,44.40
23,1,fashion_bags_accessories,1228,"Seller 1228",SP,49.00,15.10
24,1,cool_stuff,628,"Seller 0628",SP,48.90,16.60
26,1,sports_leisure,2414,"Seller 2414",PR,219.90,16.98
27,1,luggage_accessories,2296,"Seller 2296",SP,289.00,26.33
28,1,furniture_decor,782,"Seller 0782",SP,109.90,25.51
29,1,food,255,"Seller 0255",SP,27.90,7.94
30,1,furniture_decor,244,"Seller 0244",MG,119.90,17.32
31,1,agro_industry_and_commerce,2744,"Seller 2744",PR,397.00,24.65
32,1,furniture_decor,1460,"Seller 1460",PR,59.90,23.35
33,1,sports_leisure,1952,"Seller 1952",SP,21.33,15.10
33,2,sports_leisure,1952,"Seller 1952",SP,21.33,15.10
33,3,sports_leisure,1952,"Seller 1952",SP,21.33,15.10
34,1,telephony,1789,"Seller 1789",SP,16.50,14.10
35,1,electronics,1699,"Seller 1699",SP,21.90,15.10
36,1,bed_bath_table,1982,"Seller 1982",SP,39.00,16.11
37,1,garden_tools,1971,"Seller 1971",SP,49.75,20.80
38,1,computers_accessories,439,"Seller 0439",MG,809.10,44.29
39,1,cool_stuff,1497,"Seller 1497",SP,99.99,13.72
40,1,furniture_decor,1460,"Seller 1460",PR,59.90,19.95
41,1,electronics,1047,"Seller 1047",DF,24.89,17.63
41,2,electronics,1047,"Seller 1047",DF,24.89,17.63
41,3,electronics,1047,"Seller 1047",DF,24.89,17.63
42,1,construction_tools_construction,3063,"Seller 3063",SP,54.00,8.54
43,1,computers_accessories,1888,"Seller 1888",SP,81.99,13.01
44,1,bed_bath_table,879,"Seller 0879",SP,99.00,13.71
45,1,health_beauty,2938,"Seller 2938",SP,18.99,7.78
45,2,health_beauty,2938,"Seller 2938",SP,18.99,7.78
46,1,pet_shop,2934,"Seller 2934",SP,38.33,16.79
47,1,bed_bath_table,879,"Seller 0879",SP,69.90,18.00
48,1,computers_accessories,600,"Seller 0600",PR,195.00,18.21
49,1,health_beauty,500,"Seller 0500",MG,35.90,15.20
50,1,furniture_decor,3053,"Seller 3053",SP,79.50,21.05
51,1,furniture_decor,1686,"Seller 1686",SP,29.99,15.10
52,1,audio,2135,"Seller 2135",SP,109.90,13.21
53,1,sports_leisure,2351,"Seller 2351",PR,74.90,16.49
54,1,books_technical,1164,"Seller 1164",SP,14.95,18.23
55,1,baby,2790,"Seller 2790",SP,149.90,43.11
56,1,computers_accessories,1928,"Seller 1928",SP,19.99,14.10
