order_key,customer_key,customer_state,order_status,order_date,approval_stage_flag,carrier_handoff_stage_flag,delivered_stage_flag,canceled_order_flag,unavailable_order_flag,delivery_eligible_flag,on_time_flag,late_flag,delivery_status,days_to_deliver,days_late,latest_review_score,order_item_count,order_product_value,order_freight_value
1,50754,RJ,delivered,2017-09-13,1,1,1,0,0,1,1,0,"On time",7,0,5,1,58.90,13.29
2,88369,SP,delivered,2017-04-26,1,1,1,0,0,1,1,0,"On time",16,0,4,1,239.90,19.93
3,21147,MG,delivered,2018-01-14,1,1,1,0,0,1,1,0,"On time",8,0,5,1,199.00,17.87
4,66033,SP,delivered,2018-08-08,1,1,1,0,0,1,1,0,"On time",6,0,4,1,12.99,12.79
5,37906,SP,delivered,2017-02-04,1,1,1,0,0,1,1,0,"On time",25,0,5,1,199.90,18.14
6,50288,MG,delivered,2017-05-15,1,1,1,0,0,1,1,0,"On time",7,0,4,1,21.90,12.69
7,37423,SP,delivered,2017-12-10,1,1,1,0,0,1,1,0,"On time",8,0,4,1,19.90,11.85
8,95198,SP,delivered,2018-07-04,1,1,1,0,0,1,1,0,"On time",5,0,5,1,810.00,70.75
9,37518,SP,delivered,2018-03-19,1,1,1,0,0,1,1,0,"On time",10,0,1,1,145.95,11.65
10,2842,SP,delivered,2018-07-02,1,1,1,0,0,1,1,0,"On time",2,0,4,1,53.99,11.40
11,6248,SP,delivered,2018-03-24,1,1,1,0,0,1,1,0,"On time",5,0,5,1,59.99,8.88
12,24023,SP,delivered,2018-07-27,1,1,1,0,0,1,1,0,"On time",11,0,5,1,45.00,12.98
13,47720,RJ,delivered,2018-07-24,1,1,1,0,0,1,1,0,"On time",7,0,5,1,74.00,23.32
14,59463,SP,delivered,2018-02-13,1,1,1,0,0,1,1,0,"On time",13,0,5,2,99.80,26.74
15,27680,MG,delivered,2018-08-14,1,1,1,0,0,1,1,0,"On time",8,0,5,1,99.90,27.65
16,36331,SP,delivered,2018-04-25,1,1,1,0,0,1,1,0,"On time",5,0,4,1,639.00,11.34
17,37770,SP,delivered,2018-05-11,1,1,1,0,0,1,1,0,"On time",7,0,1,1,144.00,8.77
18,92380,SP,delivered,2017-08-12,1,1,1,0,0,1,1,0,"On time",7,0,5,1,99.00,13.71
19,67232,SP,delivered,2018-02-22,1,1,1,0,0,1,1,0,"On time",18,0,3,1,25.00,16.11
